year,sport,discipline,athlete,country_code,gender,event,medal,medal_value
1948,Athletics,Athletics,"LUNDQUIST, Kurt",SWE,Men,4x400m relay,Bronze,0
1948,Athletics,Athletics,"BLANKERS-KOEN, Fanny",NED,Women,200m,Gold,0
1948,Athletics,Athletics,"HAGSTRÃM, GÃ¶te",SWE,Men,3000m steeplechase,Bronze,0
1948,Athletics,Athletics,"SJÃSTRAND, Tore",SWE,Men,3000m steeplechase,Gold,0
1948,Athletics,Athletics,"ELMSATER, Erik",SWE,Men,3000m steeplechase,Silver,0
1948,Athletics,Athletics,"WHITFIELD, Malvin Groston",USA,Men,400m,Bronze,0
1948,Athletics,Athletics,"WINT, Arthur",JAM,Men,400m,Gold,0
1948,Athletics,Athletics,"MCKENLEY, Herbert",JAM,Men,400m,Silver,0
1948,Athletics,Athletics,"LARSSON, Rune",SWE,Men,400m hurdles,Bronze,0
1948,Athletics,Athletics,"COCHRAN, Roy Braxton",USA,Men,400m hurdles,Gold,0
1948,Athletics,Athletics,"WHITE, Duncan",SRI,Men,400m hurdles,Silver,0
1948,Athletics,Athletics,"MONTI, Carlo",ITA,Men,4x100m relay,Bronze,0
1948,Athletics,Athletics,"WILLIAMSON, Audrey Doreen Swayne",GBR,Women,200m,Silver,0
1948,Athletics,Athletics,"MANLEY, Dorothy Gladys",GBR,Women,100m,Silver,0
1948,Athletics,Athletics,"WOLFBRANDT, Lars-Erik",SWE,Men,4x400m relay,Bronze,0
1948,Athletics,Athletics,"COCHRAN, Roy Braxton",USA,Men,4x400m relay,Gold,0
1948,Athletics,Athletics,"CORDIALE-GENTILE, Edera",ITA,Women,discus throw,Silver,0
1948,Athletics,Athletics,"BENNETT, Robert Howard",USA,Men,hammer throw,Bronze,0
1948,Athletics,Athletics,"NEMETH, Imre",HUN,Men,hammer throw,Gold,0
1948,Athletics,Athletics,"GUBIJAN, Ivan",YUG,Men,hammer throw,Silver,0
1948,Athletics,Athletics,"STANICH, George Anthony",USA,Men,high jump,Bronze,0
1948,Athletics,Athletics,"WINTER, John",AUS,Men,high jump,Gold,0
1948,Athletics,Athletics,"PAULSON, Bjorn Andreas",NOR,Men,high jump,Silver,0
1948,Athletics,Athletics,"OSTERMEYER, Micheline",FRA,Women,high jump,Bronze,0
1948,Athletics,Athletics,"COACHMAN, Alice Marie",USA,Women,high jump,Gold,0
1948,Athletics,Athletics,"ODAM-TYLER, Dorothy Beatrice J.",GBR,Women,high jump,Silver,0
1948,Athletics,Athletics,"VARSZEGI, Jozsef",HUN,Men,javelin throw,Bronze,0
1948,Athletics,Athletics,"RAUTAVAARA, Kaj Tapio",FIN,Men,javelin throw,Gold,0
1948,Athletics,Athletics,"SEYMOUR, Stephen Andrew",USA,Men,javelin throw,Silver,0
1948,Athletics,Athletics,"CARLSTEDT-KELSBY, Lily Marie Louise",DEN,Women,javelin throw,Bronze,0
1948,Athletics,Athletics,"BAUMA, Hermine (Herma)",AUT,Women,javelin throw,Gold,0
1948,Athletics,Athletics,"PARVIAINEN, Kaisa",FIN,Women,javelin throw,Silver,0
1948,Athletics,Athletics,"DOUGLAS, Herbert Paul Jr.",USA,Men,long jump,Bronze,0
1948,Athletics,Athletics,"STEELE, William Samuel",USA,Men,long jump,Gold,0
1948,Athletics,Athletics,"BRUCE, Thomas Theodore",AUS,Men,long jump,Silver,0
1948,Athletics,Athletics,"LEYMAN, Ann-Britt",SWE,Women,long jump,Bronze,0
