year,sport,discipline,athlete,country_code,gender,event,medal,medal_value
1988,Wrestling,Wrestling Free.,"GOBEDJICHVILI, David",URS,Men,100 - 130kg (super heavyweight),Gold,3
1988,Wrestling,Wrestling Free.,"SCHRÃDER, Andreas",GDR,Men,100 - 130kg (super heavyweight),Bronze,1
1988,Wrestling,Wrestling Free.,"TZONOV, Ivan",BUL,Men,- 48kg (light-flyweight),Silver,2
1988,Wrestling,Wrestling Free.,"KOBAYASHI, Takashi",JPN,Men,- 48kg (light-flyweight),Gold,3
1988,Wrestling,Wrestling Free.,"KARAMCHAKOV, Sergei",URS,Men,- 48kg (light-flyweight),Bronze,1
1988,Weightlifting,Weightlifting,"VLAD, Nicu",ROU,Men,"90 - 100kg, total (first-heavyweight)",Silver,2
1988,Weightlifting,Weightlifting,"KUZNETSOV, Pavel",URS,Men,"90 - 100kg, total (first-heavyweight)",Gold,3
1988,Weightlifting,Weightlifting,"IMMESBERGER, Peter",FRG,Men,"90 - 100kg, total (first-heavyweight)",Bronze,1
1988,Weightlifting,Weightlifting,"MUKHAMEDYAROV, Nail",URS,Men,"82.5 - 90kg, total (middle-heavyweight)",Silver,2
1988,Weightlifting,Weightlifting,"KHRAPATY, Anatoli",URS,Men,"82.5 - 90kg, total (middle-heavyweight)",Gold,3
1988,Weightlifting,Weightlifting,"ZAWADA, Slawomir",POL,Men,"82.5 - 90kg, total (middle-heavyweight)",Bronze,1
1988,Weightlifting,Weightlifting,"MESSZI, Istvan",HUN,Men,"75 - 82.5kg, total (light-heavyweight)",Silver,2
1988,Weightlifting,Weightlifting,"ARSAMAKOV, Israil",URS,Men,"75 - 82.5kg, total (light-heavyweight)",Gold,3
1988,Weightlifting,Weightlifting,"LEE, Kyung-Kun",KOR,Men,"75 - 82.5kg, total (light-heavyweight)",Bronze,1
1988,Volleyball,Volleyball,"MALAGA, Natalia",PER,Women,volleyball,Silver,2
1988,Rowing,Rowing,"WILD-WAGNER, Ute",GDR,Women,eight with coxswain (8+),Gold,3
1988,Table Tennis,Table Tennis,"LINDH, Erik",SWE,Men,singles,Bronze,1
1988,Table Tennis,Table Tennis,"CHEN, Jing",CHN,Women,doubles,Silver,2
1988,Rowing,Rowing,"KOPPEN, Jens",GDR,Men,quadruple sculls without coxswain (4x),Bronze,1
1988,Rowing,Rowing,"HABERMANN, Heiko",GDR,Men,quadruple sculls without coxswain (4x),Bronze,1
